//Indexing Sort Option: Numeric
//Description: BRANCHES THAT ARE NOT VALID
//
//Modification History:
//2015-06-26        Dinesh      Modified (BQL_QLD BSB allows branch 000, so commented out BQL set)
// Format: BSB, Description


//Bank of Queensland (BQL in QLD can have branches 000, so commented out this set) Dinesh 2015-Jun-29
653205,Invalid Branch
653206,Invalid Branch
653207,Invalid Branch
653208,Invalid Branch
653209,Invalid Branch
653210,Invalid Branch
653211,Invalid Branch
653212,Invalid Branch
653213,Invalid Branch
653214,Invalid Branch
653215,Invalid Branch
653216,Invalid Branch
653217,Invalid Branch
653218,Invalid Branch
653219,Invalid Branch
653220,Invalid Branch
653221,Invalid Branch
653222,Invalid Branch
653223,Invalid Branch
653224,Invalid Branch
653225,Invalid Branch
653226,Invalid Branch
653227,Invalid Branch
653228,Invalid Branch
653229,Invalid Branch
653230,Invalid Branch
653231,Invalid Branch
653232,Invalid Branch
653233,Invalid Branch
653234,Invalid Branch
653235,Invalid Branch
653236,Invalid Branch
653237,Invalid Branch
653238,Invalid Branch
653239,Invalid Branch
653240,Invalid Branch
653241,Invalid Branch
653242,Invalid Branch
653243,Invalid Branch
653244,Invalid Branch
653245,Invalid Branch
653246,Invalid Branch
653247,Invalid Branch
653248,Invalid Branch
653249,Invalid Branch
653250,Invalid Branch
653251,Invalid Branch
653252,Invalid Branch
653253,Invalid Branch
653254,Invalid Branch
653255,Invalid Branch
653256,Invalid Branch
653257,Invalid Branch
653258,Invalid Branch
653259,Invalid Branch
653260,Invalid Branch
653261,Invalid Branch
653262,Invalid Branch
653263,Invalid Branch
653264,Invalid Branch
653265,Invalid Branch
653266,Invalid Branch
653267,Invalid Branch
653268,Invalid Branch
653269,Invalid Branch
653270,Invalid Branch
653271,Invalid Branch
653272,Invalid Branch
653273,Invalid Branch
653274,Invalid Branch
653275,Invalid Branch
653276,Invalid Branch
653277,Invalid Branch
653278,Invalid Branch
653279,Invalid Branch
653280,Invalid Branch
653281,Invalid Branch
653282,Invalid Branch
653283,Invalid Branch
653284,Invalid Branch
653285,Invalid Branch
653286,Invalid Branch
653287,Invalid Branch
653288,Invalid Branch
653289,Invalid Branch
653290,Invalid Branch
653291,Invalid Branch
653292,Invalid Branch
653293,Invalid Branch
653294,Invalid Branch
653295,Invalid Branch
653296,Invalid Branch
653297,Invalid Branch
653298,Invalid Branch
653299,Invalid Branch
653300,Invalid Branch
653301,Invalid Branch
653302,Invalid Branch
653303,Invalid Branch
653304,Invalid Branch
653305,Invalid Branch
653306,Invalid Branch
653307,Invalid Branch
653308,Invalid Branch
653309,Invalid Branch
653310,Invalid Branch
653311,Invalid Branch
653312,Invalid Branch
653313,Invalid Branch
653314,Invalid Branch
653315,Invalid Branch
653316,Invalid Branch
653317,Invalid Branch
653318,Invalid Branch
653319,Invalid Branch
653320,Invalid Branch
653321,Invalid Branch
653322,Invalid Branch
653323,Invalid Branch
653324,Invalid Branch
653325,Invalid Branch
653326,Invalid Branch
653327,Invalid Branch
653328,Invalid Branch
653329,Invalid Branch
653330,Invalid Branch
653331,Invalid Branch
653332,Invalid Branch
653333,Invalid Branch
653334,Invalid Branch
653335,Invalid Branch
653336,Invalid Branch
653337,Invalid Branch
653338,Invalid Branch
653339,Invalid Branch
653340,Invalid Branch
653341,Invalid Branch
653342,Invalid Branch
653343,Invalid Branch
653344,Invalid Branch
653345,Invalid Branch
653346,Invalid Branch
653347,Invalid Branch
653348,Invalid Branch
653349,Invalid Branch
653350,Invalid Branch
653351,Invalid Branch
653352,Invalid Branch
653353,Invalid Branch
653354,Invalid Branch
653355,Invalid Branch
653356,Invalid Branch
653357,Invalid Branch
653358,Invalid Branch
653359,Invalid Branch
653360,Invalid Branch
653361,Invalid Branch
653362,Invalid Branch
653363,Invalid Branch
653364,Invalid Branch
653365,Invalid Branch
653366,Invalid Branch
653367,Invalid Branch
653368,Invalid Branch
653369,Invalid Branch
653370,Invalid Branch
653371,Invalid Branch
653372,Invalid Branch
653373,Invalid Branch
653374,Invalid Branch
653375,Invalid Branch
653376,Invalid Branch
653377,Invalid Branch
653378,Invalid Branch
653379,Invalid Branch
653380,Invalid Branch
653381,Invalid Branch
653382,Invalid Branch
653383,Invalid Branch
653384,Invalid Branch
653385,Invalid Branch
653386,Invalid Branch
653387,Invalid Branch
653388,Invalid Branch
653389,Invalid Branch
653390,Invalid Branch
653391,Invalid Branch
653392,Invalid Branch
653393,Invalid Branch
653394,Invalid Branch
653395,Invalid Branch
653396,Invalid Branch
653397,Invalid Branch
653398,Invalid Branch
653399,Invalid Branch
653400,Invalid Branch
653401,Invalid Branch
653402,Invalid Branch
653403,Invalid Branch
653404,Invalid Branch
653405,Invalid Branch
653406,Invalid Branch
653407,Invalid Branch
653408,Invalid Branch
653409,Invalid Branch
653410,Invalid Branch
653411,Invalid Branch
653412,Invalid Branch
653413,Invalid Branch
653414,Invalid Branch
653415,Invalid Branch
653416,Invalid Branch
653417,Invalid Branch
653418,Invalid Branch
653419,Invalid Branch
653420,Invalid Branch
653421,Invalid Branch
653422,Invalid Branch
653423,Invalid Branch
653424,Invalid Branch
653425,Invalid Branch
653426,Invalid Branch
653427,Invalid Branch
653428,Invalid Branch
653429,Invalid Branch
653430,Invalid Branch
653431,Invalid Branch
653432,Invalid Branch
653433,Invalid Branch
653434,Invalid Branch
653435,Invalid Branch
