//_______________________________________________________________________
// Column 1 = Bank Number , State Number and TC : e.g 12 + 2 + 50
// Column 2 = EAD valid entries: length ranges, B for blank, O for Optional  : Max 4 rules split by ? symbol
// Column 3 = Serial valid entries
//_________________________________________________________________________________________  


//HSBC
243GFGTERM67,4-12?B,B
243GFGTERM68,4-12?B,B
243GFGTERM69,4-12?B,B
243GFGTERM70,4-12?B,B
243GFGTERM71,4-12?B,B
243GFGTERM72,4-12?B,B
243GFGTERM73,4-12?B,B
243GFGTERM74,4-12?B,B
243GFGTERM75,4-12?B,B
243GFGTERM76,4-12?B,B
243GFGTERM77,4-12?B,B
243GFGTERM78,4-12?B,B
243GFGTERM79,4-12?B,B
243GFGTERM80,4-12?B,B
243GFGTERM81,4-12?B,B
243GFGTERM82,4-12?B,B
243GFGTERM83,4-12?B,B
243GFGTERM84,4-12?B,B
243GFGTERM85,4-12?B,B
243GFGTERM86,4-12?B,B
243GFGTERM87,4-12?B,B
243GFGTERM89,4-12?B,B
243GFGTERM90,4-12?B,B
243GFGTERM91,4-12?B,B
243GFGTERM92,4-12?B,B
243GFGTERM94,4-12?B,B
243GFGTERM95,4-12?B,B
243GFGTERM97,4-12?B,B
243GFGTERM99,4-12?B,B

244GFGTERM51,4-12?B,B
244GFGTERM52,4-12?B,B
244GFGTERM53,4-12?B,B
244GFGTERM54,4-12?B,B
244GFGTERM55,4-12?B,B
244GFGTERM56,4-12?B,B
244GFGTERM57,4-12?B,B
244GFGTERM59,4-12?B,B
244GFGTERM62,4-12?B,B
244GFGTERM63,4-12?B,B
244GFGTERM64,4-12?B,B
244GFGTERM65,4-12?B,B
244GFGTERM66,4-12?B,B
244GFGTERM67,4-12?B,B
244GFGTERM68,4-12?B,B
244GFGTERM69,4-12?B,B
244GFGTERM70,4-12?B,B
244GFGTERM71,4-12?B,B
244GFGTERM72,4-12?B,B
244GFGTERM73,4-12?B,B
244GFGTERM74,4-12?B,B
244GFGTERM75,4-12?B,B
244GFGTERM76,4-12?B,B
244GFGTERM77,4-12?B,B
244GFGTERM78,4-12?B,B
244GFGTERM79,4-12?B,B
244GFGTERM80,4-12?B,B
