//Indexing Sort Option: ALPHA
//Modification History:
//2015-05-06		Dinesh		Added Column-4
//2015-05-25        Dinesh      Added NAB Internal BSB (State 1 for Bank codes 05, 08, 75 and 78)
//2015-06-01        Dinesh      Added NAB CreditCard Bank States
//2015-07-01        Dinesh      Chase Manhattan Bank changed to JPMorgan Chase Bank and with JPM EndPoint
//2015-07-16        Dinesh      Added CUS (Agency Bank name) for additional NBFIs
//2015-08-26        Dinesh      Commented Morgan Guaranty (BankNumber 920)
//_______________________________________________________________________
// Column 1 = Bank Number and State Number.
// Column 2 = Bank Name
// Column 3 = Bank Name for Reporting only, not used in Viva Validation. 
// Column 4 = Agency Bank Name (only Populated where specific handling is required for Image Exchange files)
//
// *****************************************************************************************
// Inserts to this table should have a corresponding entry into the Rem_Ind table
// ******************************************************************************************
405,CBA,Commonwealth Bank of Australia, , , , ,  //Colonial State Bank
406,CBA,Commonwealth Bank of Australia, , , , ,  // Colonial State Bank
407,CBA,Commonwealth Bank of Australia, , , , ,  //Colonial State Bank
427,CBA,Commonwealth Bank of Australia, , , , ,  // Trust Bank Tasmania
527,CBA,Commonwealth Bank of Australia, , , , ,  // Trust Bank Tasmania
762,CBA,Commonwealth Bank of Australia, , , , , 
763,CBA,Commonwealth Bank of Australia, , , , , 
764,CBA,Commonwealth Bank of Australia, , , , , 
765,CBA,Commonwealth Bank of Australia, , , , , 
766,CBA,Commonwealth Bank of Australia, , , , , 
767,CBA,Commonwealth Bank of Australia, , , , , 
818,CBA,Commonwealth Bank of Australia, , , , ,  // Bank of Communications Co. Ltd
941,CBA,Commonwealth Bank of Australia, , , , ,  // Bank of Cyprus
162,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
163,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
164,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
165,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
166,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
167,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
172,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
173,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
174,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
175,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
176,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
177,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
602,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
603,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
604,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
605,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
606,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
607,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
862,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
863,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
864,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
865,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
866,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
867,CBA,Commonwealth Bank of Australia, , , , ,  // For Value
980,CBA,Commonwealth Bank of Australia, , , , ,  //  Bank of China
354,CBA,Commonwealth Bank of Australia, , , , ,  // Bank of China - For Value
355,CBA,Commonwealth Bank of Australia, , , , ,  // Bank of China - For Value
356,CBA,Commonwealth Bank of Australia, , , , ,  // Bank of China - For Value
357,CBA,Commonwealth Bank of Australia, , , , ,  // Bank of China - For Value
112,STG,St George Bank Limited, , , , ,      // ST George Bank
113,STG,St George Bank Limited, , , , ,      // ST George Bank
114,STG,St George Bank Limited, , , , ,      // ST George Bank
115,STG,St George Bank Limited, , , , ,     // ST George Bank
116,STG,St George Bank Limited, , , , ,      // ST George Bank
117,STG,St George Bank Limited, , , , ,      // ST George Bank
332,STG,St George Bank Limited, , , , ,      // ST George Bank
333,STG,St George Bank Limited, , , , ,      // ST George Bank
334,STG,St George Bank Limited, , , , ,     // ST George Bank
335,STG,St George Bank Limited, , , , ,     // ST George Bank
336,STG,St George Bank Limited, , , , ,      // ST George Bank
337,STG,St George Bank Limited, , , , ,      // ST George Bank
102,STG,St George Bank Limited, , , , ,      // Bank of South Australia
103,STG,St George Bank Limited, , , , ,      // Bank of South Australia
104,STG,St George Bank Limited, , , , ,      // Bank of South Australia
105,STG,St George Bank Limited, , , , ,      // Bank of South Australia
106,STG,St George Bank Limited, , , , ,      // Bank of South Australia
107,STG,St George Bank Limited, , , , ,      // Bank of South Australia
192,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
193,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
194,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
195,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
196,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
197,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
198,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
199,STG,St George Bank Limited, , , , ,      // Bank of Melbourne
502,STG,St George Bank Limited, , , , ,      // Bank of South Australia - For Value
503,STG,St George Bank Limited, , , , ,      // Bank of South Australia - For Value
504,STG,St George Bank Limited, , , , ,      // Bank of South Australia - For Value
505,STG,St George Bank Limited, , , , ,      // Bank of South Australia - For Value
506,STG,St George Bank Limited, , , , ,      // Bank of South Australia - For Value
507,STG,St George Bank Limited, , , , ,      // Bank of South Australia - For Value
032,WBC,Westpac Banking Corporation, , , , , 
033,WBC,Westpac Banking Corporation, , , , , 
034,WBC,Westpac Banking Corporation, , , , , 
035,WBC,Westpac Banking Corporation, , , , , 
036,WBC,Westpac Banking Corporation, , , , , 
037,WBC,Westpac Banking Corporation, , , , , 
732,WBC,Westpac Banking Corporation, , , , , 
733,WBC,Westpac Banking Corporation, , , , , 
734,WBC,Westpac Banking Corporation, , , , , 
735,WBC,Westpac Banking Corporation, , , , , 
736,WBC,Westpac Banking Corporation, , , , , 
737,WBC,Westpac Banking Corporation, , , , , 
142,WBC,Westpac Banking Corporation, , , , ,  // Primary Industry Bank
143,WBC,Westpac Banking Corporation, , , , ,  // Primary Industry Bank
144,WBC,Westpac Banking Corporation, , , , ,  // Primary Industry Bank
145,WBC,Westpac Banking Corporation, , , , ,  // Primary Industry Bank
146,WBC,Westpac Banking Corporation, , , , ,  // Primary Industry Bank
147,WBC,Westpac Banking Corporation, , , , ,  // Primary Industry Bank
255,WBC,Westpac Banking Corporation, , , , ,  // BNP Paribas Securities Services
262,WBC,Westpac Banking Corporation, , , , , // Bankers Trust Australia 
263,WBC,Westpac Banking Corporation, , , , ,  // Bankers Trust Australia
264,WBC,Westpac Banking Corporation, , , , ,  // Bankers Trust Australia
265,WBC,Westpac Banking Corporation, , , , ,  // Bankers Trust Australia
266,WBC,Westpac Banking Corporation, , , , ,  // Bankers Trust Australia
267,WBC,Westpac Banking Corporation, , , , ,  // Bankers Trust Australia
292,WBC,Westpac Banking Corporation, , , , ,  // Bank of Tokyo
293,WBC,Westpac Banking Corporation, , , , ,  // Bank of Tokyo
362,WBC,Westpac Banking Corporation, , , , ,  // IBJ Australia Bank
363,WBC,Westpac Banking Corporation, , , , ,  // IBJ Australia Bank
634,WBC,Westpac Banking Corporation, , , , ,  // Uniting Church
637,ANZ,Australia & New Zealand Banking Group Limited, , , , , // Greater Building Society
650,ANZ,Australia & New Zealand Banking Group Limited, , , , ,  // Newcastle Permanent Building Society
724,WBC,Westpac Banking Corporation, , , , ,  // Railway Credit Union
918,WBC,Westpac Banking Corporation, , , , ,  // Dai-Ichi Kangyo Bank
//920,WBC,Westpac Banking Corporation, , , , ,  // Morgan Guaranty Trust Company of New York	Commented: 26-Aug Dinesh
922,WBC,Westpac Banking Corporation, , , , ,  // United Overseas Bank
923,WBC,Westpac Banking Corporation, , , , ,  // ING Mercantile Mutual
926,WBC,Westpac Banking Corporation, , , , ,  // The Asahi Bank
931,WBC,Westpac Banking Corporation, , , , ,  // International Commercial Bank Of China
936,WBC,Westpac Banking Corporation, , , , ,  // ING Bank NV
943,ANZ,Australia & New Zealand Banking Group Limited, , , , , // Taiwan Business Bank Sydney Branch
944,WBC,Westpac Banking Corporation, , , , , // Members Equity Bank Ltd
211,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
212,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
213,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
214,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
215,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
216,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
217,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
218,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
219,NAB,National Australia Bank,JPM,CMB,0,0, // JPMorgan Chase Bank
452,NAB,National Australia Bank, ,OCB,0,0, // Overseas Chinese Bank
453,NAB,National Australia Bank, ,OCB,0,0, // Overseas Chinese Bank
915,NAB,National Australia Bank,JPM,JPM,1,0, // JP Morgan Chase Bank
512,NAB,National Australia Bank,CUS,CRU,1,1,1	// Community First Credit Union
514,NAB,National Australia Bank,CUS,CRU,1,1,1	// QT Mutual Bank Limited
432,WBC,Westpac Banking Corporation, , , , ,  // Standard Chartered
939,WBC,Westpac Banking Corporation, , , , ,  // AMP Bank
742,WBC,Westpac Banking Corporation, , , , , // For value
743,WBC,Westpac Banking Corporation, , , , , // For value
744,WBC,Westpac Banking Corporation, , , , , // For value
745,WBC,Westpac Banking Corporation, , , , , // For value
746,WBC,Westpac Banking Corporation, , , , , // For value
747,WBC,Westpac Banking Corporation, , , , , // For value
610,NAB,National Australia Bank, ,ADL,1,1,1 // Adelaide Bank
633,NAB,National Australia Bank, ,ADL,1,1,1 // Bendigo Bank Limited
645,WBC,Westpac Banking Corporation, , , , ,   //Wide Bay Australia Limited
654,WBC,Westpac Banking Corporation, , , , ,  //ECU Australia Limited
700,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
701,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
702,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
703,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
704,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
705,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
706,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
707,WBC,Westpac Banking Corporation, , , , ,  //Indue Australia Limited
